20/06/30 12:49	analytics-ufcg/bestBus	master
20/06/30 10:19	paul-buerkner/brms	projpred
20/06/30 10:17	stan-dev/projpred	develop
20/06/30 10:09	stan-dev/projpred	develop
20/06/30 10:03	stan-dev/projpred	develop
20/06/30 10:01	stan-dev/projpred	develop
20/06/30 09:57	stan-dev/projpred	develop
20/06/30 09:35	stan-dev/projpred	develop
20/06/30 09:34	paul-buerkner/brms	projpred
20/06/30 09:26	stan-dev/projpred	develop
20/06/30 09:21	stan-dev/projpred	develop
